,TransactionNo,BranchID,ReservationDate,FinancingType,ClientID,SourceofSale,StatusCode,UnitCode,LotPrice,Vat,GrossLotPrice,SalesDisc,NetLotPrice,Misc,TCP,"INSERT INTO ReservationHDR (
    TransactionNo, BranchID, ReservationDate, FinTypeCode, ClientID,
    SourceCode, StatusCode, UnitCode, LotPrice, Vat, GrossLotPrice,
    SalesDisc, NetLotPrice, Misc, TCP
) VALUES ("
,021-2024-RS-000142,21,1/31/2024 13:53,INH,965578,AGT,13,KLM-9-27-G,64285.71,7714.29,72000.00,0.00,72000.00,24000.00,96000.00,
,018-2024-RS-000200,18,1/31/2024 13:57,INH,965634,AGT,13,HIJ-11-28-F,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,021-2024-RS-000143,21,1/31/2024 14:00,INH,965578,AGT,13,KLM-9-27-F,64285.71,7714.29,72000.00,0.00,72000.00,24000.00,96000.00,
,021-2024-RS-000144,21,1/31/2024 14:08,INH,965579,AGT,13,KLM-9-27-H,64285.71,7714.29,72000.00,0.00,72000.00,24000.00,96000.00,
,018-2024-RS-000201,18,1/31/2024 14:15,INH,965652,AGT,13,HIJ-16-1-T,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,018-2024-RS-000202,18,1/31/2024 14:22,INH,965653,AGT,13,HIJ-17-20-O,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,014-2024-RS-000123,14,1/31/2024 14:30,INH,965529,AGT,13,EFG-3-12-Q,99687.5,11962.5,111650.00,0.00,111650.00,33350.00,145000.00,
,018-2024-RS-000203,18,1/31/2024 14:31,INH,965650,AGT,13,HIJ-17-21-K,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,018-2024-RS-000155,18,1/31/2024 14:34,INH,965584,AGT,13,HIJ-11-8-T,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,018-2024-RS-000204,18,1/31/2024 14:40,INH,965642,AGT,13,HIJ-17-21-J,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,021-2024-RS-000145,21,1/31/2024 15:30,INH,965588,AGT,13,KLM-9-28-A,64285.71,7714.29,72000.00,0.00,72000.00,24000.00,96000.00,
,018-2024-RS-000207,18,1/31/2024 15:42,INH,965658,AGT,13,HIJ-16-3-K,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,018-2024-RS-000208,18,1/31/2024 16:14,INH,965659,AGT,13,HIJ-16-3-M,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,018-2024-RS-000209,18,1/31/2024 16:30,INH,965660,AGT,13,HIJ-20-13-I,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,021-2024-RS-000131,21,1/31/2024 16:35,INH,964369,AGT,13,KLM-9-24-F,64285.71,7714.29,72000.00,7200.00,64800.00,24000.00,88800.00,
,018-2024-RS-000210,18,1/31/2024 16:37,INH,965661,AGT,13,HIJ-20-13-J,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,021-2024-RS-000132,21,1/31/2024 16:42,INH,964369,AGT,13,KLM-9-24-G,64285.71,7714.29,72000.00,7200.00,64800.00,24000.00,88800.00,
,021-2024-RS-000133,21,1/31/2024 16:45,INH,964369,AGT,13,KLM-9-24-H,64285.71,7714.29,72000.00,7200.00,64800.00,24000.00,88800.00,
,021-2024-RS-000134,21,1/31/2024 16:49,INH,964369,AGT,13,KLM-9-24-J,64285.71,7714.29,72000.00,7200.00,64800.00,24000.00,88800.00,
,018-2024-RS-000211,18,1/31/2024 16:52,INH,965662,AGT,13,HIJ-17-21-F,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,021-2024-RS-000135,21,1/31/2024 16:55,INH,964369,AGT,13,KLM-9-24-I,64285.71,7714.29,72000.00,7200.00,64800.00,24000.00,88800.00,
,018-2024-RS-000212,18,1/31/2024 16:57,INH,965639,AGT,13,HIJ-16-3-N,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,018-2024-RS-000213,18,1/31/2024 17:13,INH,965663,AGT,13,HIJ-16-3-O,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,021-2024-RS-000136,21,1/31/2024 17:17,INH,965543,AGT,13,KLM-9-28-F,64285.71,7714.29,72000.00,0.00,72000.00,24000.00,96000.00,
,021-2024-RS-000137,21,1/31/2024 17:22,INH,965544,AGT,13,KLM-8-25-G,64285.71,7714.29,72000.00,0.00,72000.00,24000.00,96000.00,
,018-2024-RS-000214,18,1/31/2024 17:40,INH,965664,AGT,13,HIJ-11-30-F,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,021-2024-RS-000138,21,1/31/2024 17:55,INH,965549,AGT,13,KLM-8-25-H,64285.71,7714.29,72000.00,0.00,72000.00,24000.00,96000.00,
,012-2024-RS-000025,12,1/31/2024 18:06,INH,965552,OFCEMP,13,ABC-2-18-M,63616.07,7633.93,71250.00,0.00,71250.00,23750.00,95000.00,
,012-2024-RS-000027,12,1/31/2024 18:55,DEF,965608,OFCEMP,13,ABC-25-37-F,65625,7875,73500.00,0.00,73500.00,24500.00,98000.00,
,012-2024-RS-000028,12,2/3/2024 11:42,DEF,71555,OFCEMP,13,ABC-24-22-O,60267.86,7232.14,67500.00,0.00,67500.00,22500.00,90000.00,
,018-2024-RS-000215,18,2/5/2024 14:09,INH,965666,AGT,13,HIJ-11-14-T,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,014-2024-RS-000126,14,2/6/2024 17:52,INH,965704,AGT,13,EFG-9-12-E,99687.5,11962.5,111650.00,0.00,111650.00,33350.00,145000.00,
,018-2024-RS-000216,18,2/6/2024 17:53,INH,965682,AGT,13,HIJ-11-25-E,66964.29,8035.71,75000.00,5625.00,69375.00,25000.00,94375.00,
,018-2024-RS-000217,18,2/7/2024 9:52,INH,965639,AGT,13,HIJ-16-14-D,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,018-2024-RS-000218,18,2/7/2024 9:56,INH,965737,AGT,13,HIJ-17-21-G,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,018-2024-RS-000219,18,2/7/2024 10:12,INH,965741,AGT,13,HIJ-17-21-C,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,018-2024-RS-000220,18,2/7/2024 10:17,INH,965743,AGT,13,HIJ-16-13-N,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,021-2024-RS-000146,21,2/8/2024 17:22,INH,965726,AGT,13,KLM-8-17-S,64285.71,7714.29,72000.00,0.00,72000.00,24000.00,96000.00,
,018-2024-RS-000228,18,2/10/2024 10:27,DEF,965838,AGT,13,HIJ-27-11-K,78348.21,9401.79,87750.00,0.00,87750.00,29250.00,117000.00,
,018-2024-RS-000221,18,2/10/2024 10:38,INH,965744,AGT,13,HIJ-11-1-M,71651.79,8598.21,80250.00,0.00,80250.00,26750.00,107000.00,
,018-2024-RS-000222,18,2/10/2024 10:50,INH,961962,AGT,13,HIJ-11-28-J,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,014-2024-RS-000127,14,2/10/2024 11:51,INH,965749,AGT,13,EFG-3-4-W,99687.5,11962.5,111650.00,0.00,111650.00,33350.00,145000.00,
,018-2024-RS-000223,18,2/10/2024 13:14,INH,965754,AGT,13,HIJ-11-20-J,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,014-2024-RS-000128,14,2/10/2024 13:18,INH,965752,AGT,13,EFG-6-46-H,99687.5,11962.5,111650.00,0.00,111650.00,33350.00,145000.00,
,021-2024-RS-000147,21,2/10/2024 16:15,INH,965759,AGT,13,KLM-32-2-K,964285.71,115714.29,1080000.00,0.00,1080000.00,360000.00,1440000.00,
,021-2024-RS-000148,21,2/10/2024 16:20,INH,965759,AGT,13,KLM-12-5-E,73660.71,8839.29,82500.00,8250.00,74250.00,27500.00,101750.00,
,021-2024-RS-000149,21,2/10/2024 16:31,INH,965759,AGT,13,KLM-12-10-A,73660.71,8839.29,82500.00,8250.00,74250.00,27500.00,101750.00,
,021-2024-RS-000150,21,2/10/2024 16:36,INH,965759,AGT,13,KLM-12-24-I,73660.71,8839.29,82500.00,8250.00,74250.00,27500.00,101750.00,
,021-2024-RS-000151,21,2/10/2024 16:39,INH,965759,AGT,13,KLM-12-23-A,73660.71,8839.29,82500.00,8250.00,74250.00,27500.00,101750.00,
,021-2024-RS-000152,21,2/10/2024 16:42,INH,965759,AGT,13,KLM-12-31-A,66964.29,8035.71,75000.00,7500.00,67500.00,25000.00,92500.00,
,021-2024-RS-000153,21,2/10/2024 16:46,INH,965759,AGT,13,KLM-12-31-B,66964.29,8035.71,75000.00,7500.00,67500.00,25000.00,92500.00,
,021-2024-RS-000154,21,2/10/2024 16:49,INH,965759,AGT,13,KLM-12-30-E,66964.29,8035.71,75000.00,7500.00,67500.00,25000.00,92500.00,
,021-2024-RS-000155,21,2/10/2024 16:51,INH,965759,AGT,13,KLM-12-20-R,66964.29,8035.71,75000.00,7500.00,67500.00,25000.00,92500.00,
,021-2024-RS-000156,21,2/10/2024 16:54,INH,965759,AGT,13,KLM-12-20-S,66964.29,8035.71,75000.00,7500.00,67500.00,25000.00,92500.00,
,021-2024-RS-000157,21,2/10/2024 16:56,INH,965759,AGT,13,KLM-12-20-T,66964.29,8035.71,75000.00,7500.00,67500.00,25000.00,92500.00,
,018-2024-RS-000224,18,2/10/2024 18:31,INH,965769,AGT,13,HIJ-17-9-O,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,018-2024-RS-000232,18,2/13/2024 16:16,INH,965771,AGT,13,HIJ-11-15-F,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,018-2024-RS-000233,18,2/13/2024 17:40,INH,965772,AGT,13,HIJ-11-15-G,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,012-2024-RS-000029,12,2/14/2024 9:25,INH,965761,AGT,13,ABC-2-34-O,80357.14,9642.86,90000.00,0.00,90000.00,30000.00,120000.00,
,018-2024-RS-000229,18,2/14/2024 10:55,INH,965840,AGT,13,HIJ-16-1-N,71651.79,8598.21,80250.00,0.00,80250.00,26750.00,107000.00,
,012-2024-RS-000030,12,2/14/2024 10:59,INH,901983,AGT,13,ABC-2-34-N,80357.14,9642.86,90000.00,0.00,90000.00,30000.00,120000.00,
,018-2024-RS-000230,18,2/14/2024 11:17,DEF,965841,AGT,13,HIJ-27-2-L,78348.21,9401.79,87750.00,0.00,87750.00,29250.00,117000.00,
,014-2024-RS-000131,14,2/14/2024 14:35,INH,965801,AGT,13,EFG-3-10-T,99687.5,11962.5,111650.00,0.00,111650.00,33350.00,145000.00,
,012-2024-RS-000031,12,2/14/2024 15:35,INH,965802,AGT,13,ABC-5-28-B,70312.5,8437.5,78750.00,0.00,78750.00,26250.00,105000.00,
,018-2024-RS-000236,18,2/14/2024 15:53,INH,965800,AGT,13,HIJ-11-32-D,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,012-2024-RS-000032,12,2/14/2024 16:56,INH,965806,AGT,13,ABC-24-31-N,60267.86,7232.14,67500.00,0.00,67500.00,22500.00,90000.00,
,021-2024-RS-M000581,21,2/15/2024 0:00,INH,965818,OFC,13,KLM-9-27-J,64285.71,7714.29,72000.00,0.00,72000.00,24000.00,96000.00,
,021-2024-RS-M000582,21,2/15/2024 0:00,INH,965819,OFC,13,KLM-9-17-M,64285.71,7714.29,72000.00,0.00,72000.00,24000.00,96000.00,
,018-2024-RS-000231,18,2/15/2024 11:52,INH,965844,AGT,13,HIJ-18-26-B,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,014-2024-RS-000134,14,2/15/2024 13:09,INH,965816,AGT,13,EFG-3-10-K,99687.5,11962.5,111650.00,0.00,111650.00,33350.00,145000.00,
,018-2024-RS-000235,18,2/15/2024 15:13,INH,965800,AGT,13,HIJ-11-32-E,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,012-2024-RS-000033,12,2/16/2024 11:02,INH,79215,OFCEMP,13,ABC-24-31-T,60267.86,7232.14,67500.00,0.00,67500.00,22500.00,90000.00,
,018-2024-RS-000227,18,2/16/2024 15:05,DEF,965829,AGT,13,HIJ-27-30-T,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,014-2024-RS-000135,14,2/16/2024 16:59,INH,965837,AGT,13,EFG-6-33-D,113437.5,13612.5,127050.00,0.00,127050.00,37950.00,165000.00,
,018-2024-RS-000278,18,2/16/2024 19:38,DEF,966072,AGT,13,HIJ-11-14-M,66964.29,8035.71,75000.00,2250.00,72750.00,25000.00,97750.00,
,018-2024-RS-000279,18,2/16/2024 19:47,DEF,966072,AGT,13,HIJ-11-14-N,66964.29,8035.71,75000.00,2250.00,72750.00,25000.00,97750.00,
,018-2024-RS-000280,18,2/16/2024 19:52,DEF,966072,AGT,13,HIJ-11-14-O,66964.29,8035.71,75000.00,2250.00,72750.00,25000.00,97750.00,
,014-2024-RS-000136,14,2/17/2024 17:33,INH,965856,AGT,13,EFG-9-4-X,99687.5,11962.5,111650.00,0.00,111650.00,33350.00,145000.00,
,014-2024-RS-000137,14,2/17/2024 18:19,INH,965855,AGT,13,EFG-9-4-Y,99687.5,11962.5,111650.00,0.00,111650.00,33350.00,145000.00,
,021-2024-RS-000160,21,2/19/2024 9:40,INH,965832,AGT,13,KLM-32-2-J,964285.71,115714.29,1080000.00,0.00,1080000.00,360000.00,1440000.00,
,021-2024-RS-000161,21,2/19/2024 10:02,INH,965830,AGT,13,KLM-9-7-B,73660.71,8839.29,82500.00,8250.00,74250.00,27500.00,101750.00,
,021-2024-RS-000162,21,2/19/2024 10:03,INH,965832,AGT,13,KLM-9-32-L,66964.29,8035.71,75000.00,7500.00,67500.00,25000.00,92500.00,
,021-2024-RS-000163,21,2/19/2024 10:09,INH,965830,AGT,13,KLM-9-6-E,73660.71,8839.29,82500.00,8250.00,74250.00,27500.00,101750.00,
,021-2024-RS-000164,21,2/19/2024 10:15,INH,965830,AGT,13,KLM-9-5-D,73660.71,8839.29,82500.00,8250.00,74250.00,27500.00,101750.00,
,021-2024-RS-000165,21,2/19/2024 10:19,INH,965830,AGT,13,KLM-9-4-D,73660.71,8839.29,82500.00,8250.00,74250.00,27500.00,101750.00,
,021-2024-RS-000166,21,2/19/2024 10:22,INH,965830,AGT,13,KLM-9-19-H,66964.29,8035.71,75000.00,7500.00,67500.00,25000.00,92500.00,
,021-2024-RS-000167,21,2/19/2024 10:25,INH,965830,AGT,13,KLM-9-19-I,66964.29,8035.71,75000.00,7500.00,67500.00,25000.00,92500.00,
,021-2024-RS-000168,21,2/19/2024 10:29,INH,965830,AGT,13,KLM-9-19-J,66964.29,8035.71,75000.00,7500.00,67500.00,25000.00,92500.00,
,021-2024-RS-000169,21,2/19/2024 10:29,INH,965832,AGT,13,KLM-9-32-M,66964.29,8035.71,75000.00,7500.00,67500.00,25000.00,92500.00,
,014-2024-RS-000139,14,2/19/2024 10:40,INH,965865,AGT,13,EFG-6-35-R,106562.5,12787.5,119350.00,0.00,119350.00,35650.00,155000.00,
,021-2024-RS-000170,21,2/19/2024 10:40,INH,965830,AGT,13,KLM-9-20-F,66964.29,8035.71,75000.00,7500.00,67500.00,25000.00,92500.00,
,021-2024-RS-000171,21,2/19/2024 10:41,INH,965832,AGT,13,KLM-9-32-N,66964.29,8035.71,75000.00,7500.00,67500.00,25000.00,92500.00,
,021-2024-RS-000172,21,2/19/2024 10:43,INH,965830,AGT,13,KLM-9-20-G,66964.29,8035.71,75000.00,7500.00,67500.00,25000.00,92500.00,
,021-2024-RS-000173,21,2/19/2024 10:47,INH,965832,AGT,13,KLM-9-35-J,66964.29,8035.71,75000.00,7500.00,67500.00,25000.00,92500.00,
,021-2024-RS-000174,21,2/19/2024 10:47,INH,965830,AGT,13,KLM-9-37-C,66964.29,8035.71,75000.00,7500.00,67500.00,25000.00,92500.00,
,021-2024-RS-000175,21,2/19/2024 10:50,INH,965832,AGT,13,KLM-9-36-F,66964.29,8035.71,75000.00,7500.00,67500.00,25000.00,92500.00,
,021-2024-RS-000185,21,2/19/2024 10:52,INH,965831,AGT,13,KLM-9-37-D,66964.29,8035.71,75000.00,7500.00,67500.00,25000.00,92500.00,
,021-2024-RS-000176,21,2/19/2024 10:54,INH,965832,AGT,13,KLM-9-36-G,66964.29,8035.71,75000.00,7500.00,67500.00,25000.00,92500.00,
,021-2024-RS-000177,21,2/19/2024 10:57,INH,965832,AGT,13,KLM-9-33-M,66964.29,8035.71,75000.00,7500.00,67500.00,25000.00,92500.00,
,021-2024-RS-000178,21,2/19/2024 10:59,INH,965832,AGT,13,KLM-9-27-T,66964.29,8035.71,75000.00,7500.00,67500.00,25000.00,92500.00,
,021-2024-RS-000179,21,2/19/2024 11:03,INH,965832,AGT,13,KLM-9-28-P,66964.29,8035.71,75000.00,7500.00,67500.00,25000.00,92500.00,
,021-2024-RS-000180,21,2/19/2024 11:05,INH,965832,AGT,13,KLM-9-28-Q,66964.29,8035.71,75000.00,7500.00,67500.00,25000.00,92500.00,
,021-2024-RS-000181,21,2/19/2024 11:08,INH,965832,AGT,13,KLM-12-25-D,66964.29,8035.71,75000.00,7500.00,67500.00,25000.00,92500.00,
,021-2024-RS-000182,21,2/19/2024 11:12,INH,965832,AGT,13,KLM-12-25-E,66964.29,8035.71,75000.00,7500.00,67500.00,25000.00,92500.00,
,021-2024-RS-000183,21,2/19/2024 11:14,INH,965832,AGT,13,KLM-12-26-A,66964.29,8035.71,75000.00,7500.00,67500.00,25000.00,92500.00,
,021-2024-RS-000184,21,2/19/2024 11:19,INH,965832,AGT,13,KLM-12-26-B,66964.29,8035.71,75000.00,7500.00,67500.00,25000.00,92500.00,
,021-2024-RS-000186,21,2/19/2024 11:27,INH,965832,AGT,13,KLM-12-26-C,66964.29,8035.71,75000.00,7500.00,67500.00,25000.00,92500.00,
,021-2024-RS-000187,21,2/19/2024 11:27,INH,965831,AGT,13,KLM-9-37-E,66964.29,8035.71,75000.00,7500.00,67500.00,25000.00,92500.00,
,021-2024-RS-000188,21,2/19/2024 11:32,INH,965832,AGT,13,KLM-12-26-D,66964.29,8035.71,75000.00,7500.00,67500.00,25000.00,92500.00,
,021-2024-RS-000189,21,2/19/2024 11:32,INH,965831,AGT,13,KLM-9-38-A,66964.29,8035.71,75000.00,7500.00,67500.00,25000.00,92500.00,
,021-2024-RS-000190,21,2/19/2024 11:38,INH,965831,AGT,13,KLM-9-38-B,66964.29,8035.71,75000.00,7500.00,67500.00,25000.00,92500.00,
,021-2024-RS-000191,21,2/19/2024 11:41,INH,965831,AGT,13,KLM-9-38-C,66964.29,8035.71,75000.00,7500.00,67500.00,25000.00,92500.00,
,021-2024-RS-000192,21,2/19/2024 11:42,INH,965832,AGT,13,KLM-12-27-A,66964.29,8035.71,75000.00,7500.00,67500.00,25000.00,92500.00,
,021-2024-RS-000193,21,2/19/2024 11:45,INH,965831,AGT,13,KLM-9-38-D,66964.29,8035.71,75000.00,7500.00,67500.00,25000.00,92500.00,
,021-2024-RS-000194,21,2/19/2024 11:58,INH,965831,AGT,13,KLM-12-28-E,66964.29,8035.71,75000.00,7500.00,67500.00,25000.00,92500.00,
,021-2024-RS-000195,21,2/19/2024 12:02,INH,965832,AGT,13,KLM-12-27-B,66964.29,8035.71,75000.00,7500.00,67500.00,25000.00,92500.00,
,021-2024-RS-000196,21,2/19/2024 12:02,INH,965831,AGT,13,KLM-12-29-A,66964.29,8035.71,75000.00,7500.00,67500.00,25000.00,92500.00,
,021-2024-RS-000197,21,2/19/2024 12:07,INH,965832,AGT,13,KLM-12-27-C,66964.29,8035.71,75000.00,7500.00,67500.00,25000.00,92500.00,
,021-2024-RS-000198,21,2/19/2024 12:11,INH,965831,AGT,13,KLM-12-29-B,66964.29,8035.71,75000.00,7500.00,67500.00,25000.00,92500.00,
,021-2024-RS-000200,21,2/19/2024 12:15,INH,965832,AGT,13,KLM-12-26-E,66964.29,8035.71,75000.00,7500.00,67500.00,25000.00,92500.00,
,021-2024-RS-000199,21,2/19/2024 12:16,INH,965831,AGT,13,KLM-12-29-C,66964.29,8035.71,75000.00,7500.00,67500.00,25000.00,92500.00,
,018-2024-RS-000234,18,2/20/2024 12:22,INH,965882,AGT,13,HIJ-18-26-A,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,012-2024-RS-000034,12,2/20/2024 14:47,INH,965884,AGT,13,ABC-5-22-C,70312.5,8437.5,78750.00,0.00,78750.00,26250.00,105000.00,
,014-2024-RS-000140,14,2/20/2024 17:55,INH,965870,AGT,13,EFG-5C-5-E,1409375,169125,1578500.00,118387.50,1460112.50,471500.00,1931612.50,
,014-2024-RS-000141,14,2/21/2024 12:16,INH,965890,AGT,13,EFG-3-11-M,99687.5,11962.5,111650.00,0.00,111650.00,33350.00,145000.00,
,014-2024-RS-000142,14,2/21/2024 17:11,INH,965895,AGT,13,EFG-6-33-J,113437.5,13612.5,127050.00,2541.00,124509.00,37950.00,162459.00,
,014-2024-RS-000143,14,2/21/2024 17:21,INH,965895,AGT,13,EFG-6-33-E,113437.5,13612.5,127050.00,2541.00,124509.00,37950.00,162459.00,
,014-2024-RS-000144,14,2/21/2024 17:25,INH,965897,AGT,13,EFG-6-33-H,113437.5,13612.5,127050.00,2541.00,124509.00,37950.00,162459.00,
,014-2024-RS-000145,14,2/21/2024 17:36,INH,965897,AGT,13,EFG-6-33-I,113437.5,13612.5,127050.00,2541.00,124509.00,37950.00,162459.00,
,014-2024-RS-000146,14,2/21/2024 17:49,INH,965898,AGT,13,EFG-6-33-B,113437.5,13612.5,127050.00,2541.00,124509.00,37950.00,162459.00,
,014-2024-RS-000147,14,2/21/2024 17:55,INH,965898,AGT,13,EFG-6-33-A,113437.5,13612.5,127050.00,2541.00,124509.00,37950.00,162459.00,
,014-2024-RS-000149,14,2/22/2024 13:33,INH,965905,AGT,13,EFG-6-35-M,99687.5,11962.5,111650.00,0.00,111650.00,33350.00,145000.00,
,014-2024-RS-000150,14,2/22/2024 13:44,INH,965906,AGT,13,EFG-6-35-L,99687.5,11962.5,111650.00,0.00,111650.00,33350.00,145000.00,
,014-2024-RS-000152,14,2/23/2024 9:03,INH,965913,OFCEMP,13,EFG-9-4-V,99687.5,11962.5,111650.00,5582.50,106067.50,33350.00,139417.50,
,018-2024-RS-000246,18,2/26/2024 6:47,INH,965990,AGT,13,HIJ-16-12-D,71651.79,8598.21,80250.00,0.00,80250.00,26750.00,107000.00,
,018-2024-RS-000247,18,2/26/2024 7:57,INH,965980,AGT,13,HIJ-16-12-E,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,018-2024-RS-000248,18,2/26/2024 8:00,INH,965982,AGT,13,HIJ-11-15-N,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,018-2024-RS-000249,18,2/26/2024 8:10,DEF,965991,AGT,13,HIJ-11-32-C,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,018-2024-RS-000250,18,2/26/2024 8:44,DEF,965992,AGT,13,HIJ-16-13-F,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,018-2024-RS-000251,18,2/26/2024 8:50,DEF,965992,AGT,13,HIJ-16-13-G,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,018-2024-RS-000253,18,2/26/2024 9:21,INH,966054,AGT,13,HIJ-11-27-I,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,018-2024-RS-000256,18,2/26/2024 10:45,INH,965956,AGT,13,HIJ-26A-1-L,1004464.29,120535.71,1125000.00,0.00,1125000.00,375000.00,1500000.00,
,021-2024-RS-000201,21,2/26/2024 11:29,INH,965945,AGT,13,KLM-13-29-I,64285.71,7714.29,72000.00,2160.00,69840.00,24000.00,93840.00,
,018-2024-RS-000258,18,2/26/2024 11:30,INH,965974,AGT,13,HIJ-27-12-I,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,021-2024-RS-000202,21,2/26/2024 11:47,INH,965945,AGT,13,KLM-13-29-H,64285.71,7714.29,72000.00,2160.00,69840.00,24000.00,93840.00,
,021-2024-RS-000203,21,2/26/2024 11:52,INH,965945,AGT,13,KLM-13-29-J,64285.71,7714.29,72000.00,2160.00,69840.00,24000.00,93840.00,
,018-2024-RS-000261,18,2/26/2024 12:24,INH,965967,AGT,13,HIJ-16-5-L,66964.29,8035.71,75000.00,1500.00,73500.00,25000.00,98500.00,
,018-2024-RS-000262,18,2/26/2024 12:38,INH,966023,AGT,13,HIJ-11-15-T,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,018-2024-RS-000263,18,2/26/2024 13:17,INH,965978,AGT,13,HIJ-17-27-G,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,018-2024-RS-000241,18,2/26/2024 15:07,INH,959184,AGT,13,HIJ-11-32-B,66964.29,8035.71,75000.00,5625.00,69375.00,25000.00,94375.00,
,018-2024-RS-000242,18,2/26/2024 15:28,INH,965994,AGT,13,HIJ-27-13-F,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,018-2024-RS-000243,18,2/26/2024 15:42,INH,89924,AGT,13,HIJ-27-12-J,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,018-2024-RS-000265,18,2/26/2024 15:52,INH,966087,AGT,13,HIJ-18-21-D,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,018-2024-RS-000266,18,2/26/2024 16:21,INH,966087,AGT,13,HIJ-18-21-E,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,018-2024-RS-000267,18,2/26/2024 17:12,INH,966093,AGT,13,HIJ-16-14-C,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,018-2024-RS-000268,18,2/26/2024 17:35,INH,966095,AGT,13,HIJ-11-16-M,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,018-2024-RS-000269,18,2/26/2024 17:42,INH,965970,AGT,13,HIJ-18-21-H,66964.29,8035.71,75000.00,5625.00,69375.00,25000.00,94375.00,
,018-2024-RS-000270,18,2/26/2024 18:01,INH,94695,AGT,13,HIJ-20-12-M,71651.79,8598.21,80250.00,0.00,80250.00,26750.00,107000.00,
,018-2024-RS-000271,18,2/26/2024 18:03,INH,966099,AGT,13,HIJ-11-16-N,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,018-2024-RS-000272,18,2/26/2024 18:28,INH,966102,AGT,13,HIJ-17-22-K,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,018-2024-RS-000277,18,2/26/2024 19:07,INH,966109,AGT,13,HIJ-11-16-O,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,018-2024-RS-000282,18,2/26/2024 20:34,INH,965995,AGT,13,HIJ-27-38-G,78348.21,9401.79,87750.00,0.00,87750.00,29250.00,117000.00,
,018-2024-RS-000284,18,2/26/2024 20:50,INH,965996,AGT,13,HIJ-27-38-F,78348.21,9401.79,87750.00,0.00,87750.00,29250.00,117000.00,
,018-2024-RS-000285,18,2/26/2024 21:00,INH,966053,AGT,13,HIJ-27-37-J,78348.21,9401.79,87750.00,0.00,87750.00,29250.00,117000.00,
,018-2024-RS-000286,18,2/26/2024 21:10,INH,966114,AGT,13,HIJ-27-37-E,71651.79,8598.21,80250.00,0.00,80250.00,26750.00,107000.00,
